 LAT      LON      ALT   CLAVE     EDO  ESTACION                                  INICIO
 22.01  -102.20     1925    1004    AGS  CAÑADA HONDA                             1970-03
 21.78  -102.37     1820    1005    AGS  PRESA EL NIAGARA                         1957-04
 22.20  -102.14     2310    1008    AGS  PUERTO DE LA CONCEPCION                  1959-08
 21.79  -102.80     1600    1012    AGS  PRESA MEDIA LUNA                         1970-08
 21.92  -101.97     2015    1015    AGS  PALO ALTO                                1967-06
 22.23  -102.44     2110    1017    AGS  PRESA POTRERILLOS                        1951-01
 22.14  -102.42     2050    1018    AGS  PRESA PLUTARCO ELIAS CALLES              1951-01
 22.13  -102.36     2030    1019    AGS  PRESA JOCOQUE                            1951-01
 22.00  -102.67     1820    1020    AGS  PRESA LA CODORNIZ                        1963-08
 21.74  -102.18     1965    1022    AGS  SAN BARTOLO                              1951-01
 22.14  -102.07     1970    1028    AGS  VILLA JUAREZ                             1951-01
 21.90  -102.31     1865    1030    AGS  AGUASCALIENTES                           1951-01
 22.02  -102.00     2010    1031    AGS  EL NOVILLO                               1972-05
 21.90  -102.00     2015    1033    AGS  LOS CONOS                                1971-05
 21.92  -102.34     2000    1034    AGS  SANDOVALES                               1972-04
 21.87  -102.35     1845    1076    AGS  LOS NEGRITOS                             1979-12
 22.36  -102.30     2000    1088    AGS  COSIO                                    1978-08
 32.66  -115.47        4    2033     BC  MEXICALI (DGE)                           1951-01
 32.72  -114.73       38    2037     BC  PRESA MORELOS                            1961-01
 32.45  -116.91      120    2038     BC  PRESA RODRIGUEZ                          1951-01
 31.03  -114.84       22    2046     BC  SAN FELIPE                               1951-01
 22.88  -109.91       15    3005    BCS  CABO SAN LUCAS                           1951-01
 23.60  -109.59       15    3030    BCS  LA RIBERA                                1951-01
 26.01  -111.34       10    3035    BCS  LORETO (DGE)                             1951-01
 26.89  -111.98       10    3038    BCS  MULEGE                                   1954-05
 25.03  -111.67       50    3068    BCS  VILLA CONSTITUCION                       1957-03
 27.65  -113.44       80    3073    BCS  GUSTAVO DIAZ ORDAZ                       1971-10
 24.13  -110.34       16    3074    BCS  LA PAZ (DGE)                             1951-01
 18.18   -91.05       25    4004   CAMP  CANDELARIA (SMN)                         1951-11
 18.65   -91.76        5    4007   CAMP  EL CARMEN (SMN)                          1951-08
 19.75   -89.84       25    4013   CAMP  HOPELCHEN                                1950/05
 18.25   -92.09        4    4024   CAMP  PALIZADA                                 1952/09
 18.97   -91.18        5    4029   CAMP  SABANCUY                                 1953-11
 19.84   -90.53        5    4038   CAMP  CAMPECHE (DGE)                           1952-01
 19.36   -90.72       10    4041   CAMP  CHAMPOTON (DGE)                          1954-01
 19.61   -90.21       30    4058   CAMP  NOH YAXCHE                               1978/08
 19.66   -89.85       60    4066   CAMP  XCUPIL                                   1972/01
 28.33  -100.83      374    5002   COAH  ALLENDE (SMN)                            1951-01
 26.84  -100.76      582    5005   COAH  CANDELA                                  1967-06
 25.44  -102.17     1500    5024   COAH  PARRAS                                   1961-01
 25.54  -103.47     1140    5026   COAH  PRESA COYOTE                             1951-01
 25.07  -103.28     1300    5029   COAH  PRESA LA FLOR                            1963-08
 27.52  -100.62      272    5030   COAH  PRESA VENUSTIANO CARRANZA                1951-03
 27.42  -101.00      360    5031   COAH  PROGRESO                                 1951-01
 27.85  -101.12      339    5033   COAH  SABINAS (DGE)                            1953-05
 25.27  -100.58     2170    5035   COAH  SAN ANTONIO LAS ALAZANAS (DGE)           1954-08
 25.76  -103.00     1100    5036   COAH  SAN PEDRO                                1963-08
 27.28  -103.70     1256    5039   COAH  SIERRA MOJADA                            1960-08
 26.99  -102.07      740    5044   COAH  CUATRO CIENEGAS (SMN)                    1951-01
 26.90  -101.42      586    5047   COAH  MONCLOVA                                 1951-06
 25.43  -101.00     1589    5048   COAH  SALTILLO (DGE)                           1951-01
 29.04  -100.96      340    5086   COAH  PRESA SAN MIGUEL                         1964-01
 29.45  -101.06      280    5187   COAH  REPRESA LA AMISTAD                       1961-01
 18.82  -103.63       24    6003    COL  CALLEJONES                               1951-01
 19.34  -103.61      950    6009    COL  CUAUHTEMOC (DGE)                         1960-01
 19.36  -103.79      450    6014    COL  PEÑITAS                                  1957-10
 19.11  -103.88      200    6017    COL  MADRID                                   1970-03
 19.05  -104.30      3.4    6018    COL  MANZANILLO                               1981-01
 18.91  -103.87       33    6058    COL  TECOMAN (DGE)                            1951-01
 16.55   -92.80      420    7003   CHIS  ACALA                                    1962-05
 16.94   -93.10      405    7035   CHIS  CHICOASEN (CFE)                          1961-07
 16.97   -93.10      211    7069   CHIS  GRIJALVA                                 1965-01
 15.14   -92.49       85    7077   CHIS  HUIXTLA                                  1954-07
 16.69   -93.56      480    7102   CHIS  LAS FLORES                               1951-01
 15.85   -91.97      582    7135   CHIS  PUENTE CONCORDIA (CFE)                   1961-08
 17.12   -93.33      280    7178   CHIS  YAMONHO                                  1967-11
 16.25   -92.13     1596    7205   CHIS  COMITAN (DGE)                            1961-01
 15.75   -92.27      550    7224   CHIS  CHICOMUSELO                              1975-07
 15.90   -92.93      530    7226   CHIS  REFORMA II                               1975-06
 28.77  -107.26     2017    8004   CHIH  BACHINIVA                                1951-01
 27.14  -104.91     1380    8029   CHIH  JIMENEZ (SMN)                            1951-01
 29.57  -104.41      800    8031   CHIH  OJINAGA (SMN)                            1951-01
 27.75  -107.64     2348    8038   CHIH  CREEL                                    1952-12
 28.19  -105.46     1173    8044   CHIH  DELICIAS (DGE)                           1951-01
 28.98  -105.28     1080    8049   CHIH  LUIS L. LEON                             1964-10
 29.85  -107.46     2450    8059   CHIH  EL TINTERO                               1951-01
